ward,morning_kwh,evening_kwh
Kempegowda Ward,1.6813616760717147,1.2424543239282853
Jakkuru,0.9044107973289257,0.3205332026710744
Vidyaranyapura,2.201528302756845,1.106993697243155
Mallasandra,9.40246357348384,18.65418042651616
J P Park,9.130479224849683,14.890790775150315
Hebbala,19.91386791609224,7.586458083907759
Horamavu,0.46254835775892006,1.8142296422410797
Kacharkanahalli,16.36196561485895,7.257336385141053
Manorayanapalya,40.76801947423638,19.340378525763615
Yeshwanthpura,31.040394637139222,33.52473536286078
Peenya Industrial Area,2.626551311232279,4.252488688767722
Malleswaram,10.3119029951149,17.7816870048851
Lingarajapura,17.97323197740686,32.95372802259314
Basavanapura,2.291859046189382,2.6152809538106174
C V Raman Nagar,5.850754555362043,5.7872354446379575
S K Garden,19.29957226696158,16.97110973303842
Kadu Malleshwar Ward,27.949005054800416,7.105552945199583
Laggere,15.187251013484312,7.292492986515687
Kottegepalya,3.999411728590136,2.976620271409864
Dattatreya Temple,53.55892198639849,13.94868601360152
Vijnana Nagar,1.9911841111481874,4.057641888851813
Dodda Nekkundi,0.7530811339823307,1.7900188660176692
Jogupalya,30.219333916821913,23.028364083178086
Vasanth Nagar,2.6035466464272634,8.897985353572736
Dayananda Nagar,23.829915722391963,83.79897627760803
Vrisabhavathi Nagar,24.713904489818248,23.84629951018175
Dr. Raj Kumar Ward,16.791683190214847,18.211144809785154
Sampangiram Nagar,7.817967851855652,2.6018121481443477
Agaram,2.5586404741618387,1.8716315258381608
Sudham Nagara,22.696315874287073,21.940122125712925
Kempapura Agrahara,65.35166217460039,65.84389182539958
Maruthi Mandir ward,13.454032006908024,25.150519993091976
Ullalu,0.6608052763206902,2.5303127236793097
Bapuji Nagar,23.53173259265839,51.06767340734161
Chalavadipalya,54.51857866407531,34.097921335924696
Sunkenahalli,10.884032967694923,23.089921032305075
Lakkasandra,12.953789417129713,17.76264458287029
Bellanduru,0.22038799383593569,0.8693440061640643
Basavanagudi,30.081453405760815,13.013416594239187
Deepanjali Nagar,6.06269082756583,14.65194717243417
Girinagar,9.956494481092118,17.65751151890788
Karisandra,27.99489359658339,10.449106403416613
Jayanagar East,21.629587372365954,21.127238627634043
HSR Layout,3.5159381279731483,1.448041872026851
Sarakki,16.29052345267036,11.612316547329637
Padmanabha Nagar,13.682851750365977,7.528814249634023
Jaraganahalli,6.495619853965154,18.987656146034848
Mangammanapalya,5.716006979498862,5.178135020501137
Gottigere,2.343414320823241,2.3001056791767596
Hemmigepura,0.8604702502339362,0.32999174976606394
